aaa       A
aad       k
aam       n
aas       u
adc       a
add       +
and       &
call      c
cbw       b
clc       '
cld       C
cli       !
cmc       "
cmp       ?
cmpsb     0
cmpsw     1
cs:       %
cwd       w
daa       y
das       Y
dec       d
div       /
ds:       E
es:       e
idiv      \
imul      #
inc       i
int       $
iret      I
ja        ]
jae       )
jb        [
jbe       (
jcxz      z
je        =
jg        >
jge       .
jl        <
jle       ,
jmp       j
jne       J
jno       K
jnp       P
jns       g
jo        M
jp        p
js        G
lahf      L
lds       N
lea       l
les       T
lodsb     2
lodsw     3
loop      o
loope     q
loopne    Q
mov       m
movsb     4
movsw     5
mul       *
neg       _
nop       ;
not       ~
or        |
pop       }
popf      O
push      {
pushf     U
rcl       f
rcr       F
rep       r
ret       R
rol       h
ror       H
sahf      s
salc      S
sar       W
sbb       B
scasb     6
scasw     7
shl       v
shr       V
ss:       Z
stc       `
std       D
sti       :
stosb     8
stosw     9
sub       -
test      t
xchg      x
xlatb     @
xor       ^

